[200~w	PL(all)
4.663105175	0.0004097163
4.674789649	0.0004592572
4.686474124	0.0004898835
4.698158598	0.0004898855
4.709843072	0.0004640058
4.721527546	0.0004258689
4.73321202	0.0003846759
4.744896494	0.0003438785
4.756580968	0.0003064919
4.768265442	0.0002761388
4.779949917	0.0002550516
4.791634391	0.0002438187
4.803318865	0.0002424501
4.815003339	0.0002512270
4.826687813	0.0002709845
4.838372287	0.0003027937
4.850056761	0.0003465666
4.861741235	0.0003978648
4.87342571	0.0004437998
4.885110184	0.0004646865
4.896794658	0.0004481761
4.908479132	0.0004017114
4.920163606	0.0003440816
4.93184808	0.0002901196
4.943532554	0.0002460408
4.955217028	0.0002121571
4.966901503	0.0001861046
4.978585977	0.0001649733
4.990270451	0.0001468369
5.001954925	0.0001311893
5.013639399	0.0001181036
5.025323873	0.0001074903
5.037008347	0.0000990270
5.048692821	0.0000923256
5.060377295	0.0000870392
5.07206177	0.0000828951
5.083746244	0.0000796895
5.095430718	0.0000772767
5.107115192	0.0000755561
5.118799666	0.0000744633
5.13048414	0.0000739642
5.142168614	0.0000740518
5.153853088	0.0000747458
5.165537563	0.0000760948
5.177222037	0.0000781810
5.188906511	0.0000811288
5.200590985	0.0000851191
5.212275459	0.0000904089
5.223959933	0.0000973586
5.235644407	0.0001064741
5.247328881	0.0001184514
5.259013356	0.0001342123
5.27069783	0.0001548590
5.282382304	0.0001813683
5.294066778	0.0002136459
5.305751252	0.0002486892
5.317435726	0.0002792140
5.3291202	0.0002969580
5.340804674	0.0003003230
5.352489149	0.0002949734
5.364173623	0.0002852907
5.375858097	0.0002709040
5.387542571	0.0002521235
5.399227045	0.0002333121
5.410911519	0.0002195714
5.422595993	0.0002135390
5.434280467	0.0002150385
5.445964942	0.0002211509
5.457649416	0.0002263012
5.46933389	0.0002249487
5.481018364	0.0002164423
5.492702838	0.0002052769
5.504387312	0.0001961240
5.516071786	0.0001906475
5.52775626	0.0001879662
5.539440735	0.0001868334
5.551125209	0.0001875229
5.562809683	0.0001916222
5.574494157	0.0002007764
5.586178631	0.0002162655
5.597863105	0.0002392249
5.609547579	0.0002707293
5.621232053	0.0003114803
5.632916528	0.0003615428
5.644601002	0.0004211966
5.656285476	0.0004920648
5.66796995	0.0005740703
5.679654424	0.0006581008
5.691338898	0.0007239487
5.703023372	0.0007535065
